"","Gsk3_p","Mek_p","mTor_p","Akt_p","Erk_p","Stat3_p","Smad2_p","x_status","Perturbation1","Perturbation2","Category"
"Fgf4+Bmp4ri...59",0.0319661713950402,0.0845414668996794,0.0185457228623368,0.0154144790610922,0.371625001984906,0.00628882363026186,-0.58703304183498,"XO","Fgf4","Bmp4ri","Sim_Final"
"Fgfri...60",-0.248011094030448,-0.655919078879168,-0.143887891979059,-0.119593984797444,-2.88327063545822,-0.0487921437143943,-0.00677244253355695,"XO","Fgfri",NA,"Sim_Final"
"Activin+Fgfri...61",-0.248011094030448,-0.796201847572453,-0.143887891979059,-0.119593984797444,-3.49992168382426,-0.0487921437143943,1.39097223015148,"XO","Activin","Fgfri","Sim_Final"
"Bmp4ri+Fgfri...62",-0.302946879890996,-0.80120866844378,-0.175759830823524,-0.146084693064855,-3.52193052616494,-0.0595998649143257,-0.587033042457764,"XO","Bmp4ri","Fgfri","Sim_Final"
"Fgf4+Fgfri...63",-0.170699316916949,-0.451451331865513,-0.0990341378455829,-0.0823132997018006,-1.98447706496143,-0.03358231064429,-0.00466128871717146,"XO","Fgf4","Fgfri","Sim_Final"
"Gsk3i...64",-0.761833554546042,-0.038719680325895,-0.426921145080807,-0.354840148342238,-0.170202881563914,-0.251705861653244,-0.0349372532878311,"XO","Gsk3i",NA,"Sim_Final"
"Activin+Gsk3i...65",-0.761833554546042,-0.17900244901918,-0.426921145080807,-0.354840148342238,-0.786853929929955,-0.251705861653244,1.3628074193972,"XO","Activin","Gsk3i","Sim_Final"
"Bmp4ri+Gsk3i...66",-0.808673603218871,-0.242872116337042,-0.454708363479654,-0.377935796829733,-1.0676104168258,-0.256784437655818,-0.587033044321563,"XO","Bmp4ri","Gsk3i","Sim_Final"
"Fgf4+Gsk3i...67",-0.692642980051891,0.262847562497774,-0.385874782852625,-0.320724018396975,1.15541792113538,-0.244203956740959,-0.0338959745891936,"XO","Fgf4","Gsk3i","Sim_Final"
"Fgfri+Gsk3i...68",-0.908657863664334,-0.678653694517909,-0.514022658835133,-0.427235517879553,-2.98320681934179,-0.267625110971088,-0.0371468754313784,"XO","Fgfri","Gsk3i","Sim_Final"
"Igfri...69",-0.675960027395832,-0.0204568254719225,-0.392169809114074,-0.325956197871262,-0.0899235379441579,-0.132984126902945,-0.0184584502496404,"XO","Igfri",NA,"Sim_Final"
"Activin+Igfri...70",-0.675960027395832,-0.160739594165208,-0.392169809114074,-0.325956197871262,-0.706574586310199,-0.132984126902945,1.3792862224354,"XO","Activin","Igfri","Sim_Final"
"Bmp4ri+Igfri...71",-0.727570720463252,-0.231208057001872,-0.422112638317261,-0.350843505700051,-1.0163378729187,-0.143137690247317,-0.587033043247368,"XO","Bmp4ri","Igfri","Sim_Final"
"Fgf4+Igfri...72",-0.60184278649221,0.282199443406993,-0.3491694199798,-0.290215957231994,1.24048437485369,-0.118402766806852,-0.0164345296797647,"XO","Fgf4","Igfri","Sim_Final"
"Fgfri+Igfri...73",-0.834513421453146,-0.667906434745358,-0.484157281393161,-0.402412584923631,-2.93596431716181,-0.164176925029547,-0.022788070075525,"XO","Fgfri","Igfri","Sim_Final"
"Gsk3i+Igfri...74",-0.936919644628291,-0.0416398944462311,-0.530788573949167,-0.441170690392573,-0.183039476646349,-0.270689360617712,-0.0375721991220468,"XO","Gsk3i","Igfri","Sim_Final"
"Jaki...75",-1.08447590872953,-0.285871654162318,-0.385727542019595,-0.320601637578793,-1.25662657559,-1.85837203271127,-0.257945579746965,"XO","Jaki",NA,"Sim_Final"
"Activin+Jaki...76",-1.08447590872953,-0.426154422855603,-0.385727542019595,-0.320601637578793,-1.87327762395604,-1.85837203271127,1.13979909293807,"XO","Activin","Jaki","Sim_Final"
"Bmp4ri+Jaki...77",-1.1272325146839,-0.407551024476134,-0.411344334296231,-0.341893312812572,-1.79150132868664,-1.86130493425177,-0.587033059487581,"XO","Bmp4ri","Jaki","Sim_Final"
"Fgf4+Jaki...78",-0.978521603825241,0.0156596020030823,-0.322247072535074,-0.267839155635063,0.0688360379692002,-1.85110406704517,-0.256936772261528,"XO","Fgf4","Jaki","Sim_Final"
"Fgfri+Jaki...79",-1.28105825271601,-0.845317739677488,-0.503506045685896,-0.418494520594851,-3.71582394067395,-1.87185665448239,-0.259817270947216,"XO","Fgfri","Jaki","Sim_Final"
"Gsk3i+Jaki...80",-1.38740326793194,-0.291566667061656,-0.564816869453237,-0.469453677926986,-1.28166055308807,-1.89539372599203,-0.263084261328707,"XO","Gsk3i","Jaki","Sim_Final"
"Igfri+Jaki...81",-1.36044414468474,-0.28878365698413,-0.551068565181207,-0.458026625452418,-1.26942707567738,-1.87730215231019,-0.260573116423513,"XO","Igfri","Jaki","Sim_Final"
"Meki...82",0,3.3137282645394,0,0,-2.40303648284018,0,0,"XO","Meki",NA,"Sim_Final"
"Activin+Meki...83",0,2.97999924322645,0,0,-2.87940493547009,0,1.39774467268504,"XO","Activin","Meki","Sim_Final"
"Bmp4ri+Meki...84",-0.0824976747748009,2.79467669397905,-0.0478624416497385,-0.0397813884149502,-3.1439363678133,-0.0162300739789538,-0.58703304204783,"XO","Bmp4ri","Meki","Sim_Final"
"Fgf4+Meki...85",0.114904798373308,4.03667610789854,0.0666639904994904,0.0554085000250981,-1.37109282951861,0.0226056477740291,0.00313770699192032,"XO","Fgf4","Meki","Sim_Final"
"Gsk3i+Meki...86",-0.761833554546042,3.22161516225979,-0.426921145080807,-0.354840148342238,-2.53451973181639,-0.251705861653244,-0.0349372532878311,"XO","Gsk3i","Meki","Sim_Final"
