"","Gsk3_p","Mek_p","mTor_p","Akt_p","Erk_p","Stat3_p","Smad2_p","x_status","Treatment_id","Perturbation1","Perturbation2","Category"
"NoLif+Fgfri...101",0.397242687909505,-0.210613279392571,0.278148112011099,0.441917239638106,-1.69292877977173,1.21827670101394,0.250233584365845,"XO","NoLif+Fgfri","NoLif","Fgfri","Sim_Init"
"NoLif+Gsk3i...102",-4.25910954854858,-1.67388428530445,-1.21707337064964,-0.779464676710996,-2.78266910659653,-0.198407886289284,-0.871250761008798,"XO","NoLif+Gsk3i","NoLif","Gsk3i","Sim_Init"
"NoLif+Igfri...103",0.416434423394633,-1.01517335453917,-0.79925230871334,0.113819468895293,-2.86783789024211,0.92882927649501,-0.878659906817569,"XO","NoLif+Igfri","NoLif","Igfri","Sim_Init"
"NoLif+Jaki...104",-5.08502057363444,-0.733728703102853,-0.374406422135916,-0.542263359939573,-9.679346083051,2.47878136545667e-07,-2.7573535941335,"XO","NoLif+Jaki","NoLif","Jaki","Sim_Init"
"NoLif+Meki...105",-0.65035877077847,5.33375023097849,-0.535227391292082,0.418606283560355,-2.83557258992885,1.64729640951761,-0.0523272439544817,"XO","NoLif+Meki","NoLif","Meki","Sim_Init"
"NoLif+Pi3ki...106",-0.0593183910562611,-0.864722153900776,0.952204598426644,0.175411322749432,-5.9241453711309,0.405757776750662,-0.502097044865828,"XO","NoLif+Pi3ki","NoLif","Pi3ki","Sim_Init"
"Activin...107",0.433903112827476,1.37462122473118,0.775486964930284,-0.0512436233016737,-0.817051975309194,-1.18838409593008,-0.221583980943164,"XX","Activin","Activin",NA,"Sim_Final"
"Bmp4ri...108",-0.28117392167781,1.18386652641681,0.493202412707944,-3.91091221439388,-2.37201545599514,-1.66297577017944,0.406196237387804,"XX","Bmp4ri","Bmp4ri",NA,"Sim_Final"
"Activin+Bmp4ri...109",1.06719252453255,2.24013389889798,0.980544316956518,0.185561678205491,0.468415386717184,-0.0751168427978956,-0.418818235746432,"XX","Activin+Bmp4ri","Activin","Bmp4ri","Sim_Final"
"Fgf4...110",-0.0840902105721335,0.776767811166208,0.694588902901453,-4.39354825686032,-0.688518353164426,-0.116260870459185,0.0932251146998426,"XX","Fgf4","Fgf4",NA,"Sim_Final"
"Activin+Fgf4...111",1.34661314642114,3.1973031404655,-0.0931210717210237,0.700824156215024,2.89369483320471,-0.436884350913517,1.16051477986894,"XX","Activin+Fgf4","Activin","Fgf4","Sim_Final"
"Fgf4+Bmp4ri...112",0.323552060875104,2.38128823347383,0.94554854713936,-2.72422926242755,1.74422639859953,0.0717930272193472,-1.90942126191771,"XX","Fgf4+Bmp4ri","Fgf4","Bmp4ri","Sim_Final"
"Fgfri...113",0.622890465654059,-1.09981107307433,1.18021149434705,-1.25441415083392,0.504215472835867,0.937887318069757,0.875712328502807,"XX","Fgfri","Fgfri",NA,"Sim_Final"
"Activin+Fgfri...114",1.052269837499,-0.0782297213787966,1.00583392889202,-0.0988515340297088,1.53619217816279,-0.486633762368888,-1.16038312534867,"XX","Activin+Fgfri","Activin","Fgfri","Sim_Final"
"Bmp4ri+Fgfri...115",1.17845972957707,0.614042970027872,1.24626616410675,0.530737195763829,1.53917179367182,-0.095897410441322,0.981689636919505,"XX","Bmp4ri+Fgfri","Bmp4ri","Fgfri","Sim_Final"
"Fgf4+Fgfri...116",0.739382063940086,-1.88633392490504,0.505428244009899,-0.0914195194231951,-0.539827575156253,-0.149475819731092,-1.4676901973852,"XX","Fgf4+Fgfri","Fgf4","Fgfri","Sim_Final"
"Gsk3i...117",-0.898283490984051,0.117541835544251,1.23247810567806,-1.83028801025598,-1.55187814670126,0.627348566967321,-0.136493610858988,"XX","Gsk3i","Gsk3i",NA,"Sim_Final"
"Activin+Gsk3i...118",0.310847727574104,0.852258568522662,1.17907393403939,1.09364951599611,-2.54131210186186,0.272157254427476,0.868350307034012,"XX","Activin+Gsk3i","Activin","Gsk3i","Sim_Final"
"Bmp4ri+Gsk3i...119",1.56919351147678,2.31685343434359,1.21231562997282,2.34465147737335,2.51552074999402,-0.270325431087329,1.67184597008616,"XX","Bmp4ri+Gsk3i","Bmp4ri","Gsk3i","Sim_Final"
"Fgf4+Gsk3i...120",-0.903466767589805,0.931013860630557,1.26405205267977,-1.86290935341673,1.3383984427834,-0.218455938672002,-0.635589737374641,"XX","Fgf4+Gsk3i","Fgf4","Gsk3i","Sim_Final"
"Fgfri+Gsk3i...121",0.74820217734566,-0.744436645075719,1.46081732244291,0.513835888679264,-0.619450139683729,0.327728524921722,-1.2789224451457,"XX","Fgfri+Gsk3i","Fgfri","Gsk3i","Sim_Final"
"Igfri...122",0.566086288944366,-1.76137805475204,0.0664735203621774,-2.70899810060764,-3.91859428422412,0.0297739047008401,-1.28407120250344,"XX","Igfri","Igfri",NA,"Sim_Final"
"Activin+Igfri...123",1.20455878365376,0.707168275221833,0.351004741567406,0.639511871263952,0.144069430937927,0.965370100214154,0.889018650173323,"XX","Activin+Igfri","Activin","Igfri","Sim_Final"
"Bmp4ri+Igfri...124",1.43670849099494,0.953156858825852,0.518361941960022,-0.959698162463756,0.988375175551462,-0.306292960623083,-0.8703289513193,"XX","Bmp4ri+Igfri","Bmp4ri","Igfri","Sim_Final"
"Fgf4+Igfri...125",0.869530542713904,0.067122690539209,-0.284916052649719,0.223258126583346,0.329515258010805,1.07206935592146,-0.182939886622629,"XX","Fgf4+Igfri","Fgf4","Igfri","Sim_Final"
"Fgfri+Igfri...126",1.53847603224982,-1.02656844917451,-0.119552586299325,3.0135170962319,1.8587179822811,-0.396254926844263,-2.79604512466946,"XX","Fgfri+Igfri","Fgfri","Igfri","Sim_Final"
"Gsk3i+Igfri...127",-0.911873827338397,0.506891330062181,-0.288525422806267,-2.11895952786878,-0.983934980832969,0.273265498823867,0.08506900572044,"XX","Gsk3i+Igfri","Gsk3i","Igfri","Sim_Final"
