"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"49(1,A7)","Unknown7","NaN","NaN","45.49","NaN","215.49","NaN","NaN","NaN","NaN","NaN","NaN","7079.44","NaN","NaN","NaN","NaN","NaN","NaN","36.69","NaN","43.67","NaN","37.39","NaN","NaN","NaN","154.44","NaN","NaN","NaN","116.37","NaN","35.75","NaN","20.11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","117.05","NaN","NaN","NaN","3550"
"50(1,B7)","Unknown19","NaN","NaN","46.9","NaN","159.26","NaN","NaN","NaN","NaN","NaN","NaN","2013.64","NaN","NaN","NaN","NaN","NaN","NaN","33.67","NaN","42.37","NaN","32.48","NaN","NaN","NaN","139.88","NaN","NaN","NaN","111.8","NaN","31.5","NaN","18.69","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","106.47","NaN","NaN","NaN","3683"
"51(1,C7)","Unknown31","NaN","NaN","40.19","NaN","169.37","NaN","NaN","NaN","NaN","NaN","NaN","1032.18","NaN","NaN","NaN","NaN","NaN","NaN","30.98","NaN","44.15","NaN","28.85","NaN","NaN","NaN","130.21","NaN","NaN","NaN","105.62","NaN","30.57","NaN","17.35","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","69.91","NaN","NaN","NaN","4352"
"52(1,D7)","Unknown43","NaN","NaN","49.52","NaN","186.34","NaN","NaN","NaN","NaN","NaN","NaN","2709.88","NaN","NaN","NaN","NaN","NaN","NaN","33.06","NaN","47.06","NaN","32.86","NaN","NaN","NaN","112.79","NaN","NaN","NaN","119.26","NaN","43.43","NaN","20.64","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","121.4","NaN","NaN","NaN","3816"
"54(1,F7)","Unknown59","NaN","NaN","45.99","NaN","97.53","NaN","NaN","NaN","NaN","NaN","NaN","8003.45","NaN","NaN","NaN","NaN","NaN","NaN","48.02","NaN","46.24","NaN","33.61","NaN","NaN","NaN","93.82","NaN","NaN","NaN","117.67","NaN","39.15","NaN","19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","41.35","NaN","NaN","NaN","3504"
"55(1,G7)","Unknown66","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5.58","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","9.71","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","74"
"56(1,H7)","Unknown70","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.85","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3.7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","70"
"57(1,A8)","Unknown8","NaN","NaN","50.22","NaN","143.76","NaN","NaN","NaN","NaN","NaN","NaN","6548.19","NaN","NaN","NaN","NaN","NaN","NaN","36.76","NaN","47.44","NaN","35.51","NaN","NaN","NaN","147.58","NaN","NaN","NaN","117.73","NaN","35.24","NaN","21.06","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","71.5","NaN","NaN","NaN","3597"
"58(1,B8)","Unknown20","NaN","NaN","46.78","NaN","202.29","NaN","NaN","NaN","NaN","NaN","NaN","3160.55","NaN","NaN","NaN","NaN","NaN","NaN","33.93","NaN","43.67","NaN","31.46","NaN","NaN","NaN","160.91","NaN","NaN","NaN","117.27","NaN","33.03","NaN","20.39","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","116.67","NaN","NaN","NaN","3651"
"59(1,C8)","Unknown32","NaN","NaN","47.68","NaN","275.15","NaN","NaN","NaN","NaN","NaN","NaN","7903.9","NaN","NaN","NaN","NaN","NaN","NaN","38.19","NaN","44.54","NaN","31.65","NaN","NaN","NaN","183.37","NaN","NaN","NaN","113.34","NaN","38.99","NaN","19.63","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","109.33","NaN","NaN","NaN","3692"
"60(1,D8)","Unknown44","NaN","NaN","44.26","NaN","98.17","NaN","NaN","NaN","NaN","NaN","NaN","4353.7","NaN","NaN","NaN","NaN","NaN","NaN","31.67","NaN","39.92","NaN","29.72","NaN","NaN","NaN","97.32","NaN","NaN","NaN","116.42","NaN","33.27","NaN","20.3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","45.66","NaN","NaN","NaN","3984"
"62(1,F8)","Unknown60","NaN","NaN","50.28","NaN","80.98","NaN","NaN","NaN","NaN","NaN","NaN","7130.85","NaN","NaN","NaN","NaN","NaN","NaN","38.62","NaN","49.45","NaN","37.12","NaN","NaN","NaN","97.52","NaN","NaN","NaN","123.75","NaN","37.51","NaN","24.41","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","40.59","NaN","NaN","NaN","3902"
"65(1,A9)","Unknown9","NaN","NaN","50.2","NaN","291.61","NaN","NaN","NaN","NaN","NaN","NaN","6795.03","NaN","NaN","NaN","NaN","NaN","NaN","35.29","NaN","44.93","NaN","34.97","NaN","NaN","NaN","177.62","NaN","NaN","NaN","127.54","NaN","33.43","NaN","20.84","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","173.47","NaN","NaN","NaN","3420"
"66(1,B9)","Unknown21","NaN","NaN","47.93","NaN","153.37","NaN","NaN","NaN","NaN","NaN","NaN","2291.02","NaN","NaN","NaN","NaN","NaN","NaN","48.35","NaN","41.73","NaN","32.89","NaN","NaN","NaN","146.13","NaN","NaN","NaN","121.19","NaN","32.51","NaN","20.2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","73.69","NaN","NaN","NaN","4101"
"67(1,C9)","Unknown33","NaN","NaN","49.81","NaN","210.55","NaN","NaN","NaN","NaN","NaN","NaN","5804.04","NaN","NaN","NaN","NaN","NaN","NaN","33.29","NaN","47.73","NaN","32.93","NaN","NaN","NaN","133.64","NaN","NaN","NaN","117.19","NaN","33.05","NaN","77.76","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","109.19","NaN","NaN","NaN","3811"
"68(1,D9)","Unknown45","NaN","NaN","47","NaN","215.91","NaN","NaN","NaN","NaN","NaN","NaN","7847.14","NaN","NaN","NaN","NaN","NaN","NaN","33.43","NaN","43.96","NaN","36.22","NaN","NaN","NaN","129.62","NaN","NaN","NaN","114.72","NaN","34.86","NaN","21.37","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","190.17","NaN","NaN","NaN","3692"
"70(1,F9)","Unknown61","NaN","NaN","49.79","NaN","197.07","NaN","NaN","NaN","NaN","NaN","NaN","6995.59","NaN","NaN","NaN","NaN","NaN","NaN","38.92","NaN","47.23","NaN","32.91","NaN","NaN","NaN","135.81","NaN","NaN","NaN","115.02","NaN","33.84","NaN","22.71","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","124.41","NaN","NaN","NaN","3623"
"73(1,A10)","Unknown10","NaN","NaN","59.78","NaN","210.06","NaN","NaN","NaN","NaN","NaN","NaN","6397.22","NaN","NaN","NaN","NaN","NaN","NaN","39.33","NaN","51.24","NaN","47.23","NaN","NaN","NaN","156.5","NaN","NaN","NaN","119.97","NaN","37.66","NaN","27.3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","126.26","NaN","NaN","NaN","4211"
"74(1,B10)","Unknown22","NaN","NaN","54.41","NaN","247.43","NaN","NaN","NaN","NaN","NaN","NaN","8964.3","NaN","NaN","NaN","NaN","NaN","NaN","45.7","NaN","49.38","NaN","46.17","NaN","NaN","NaN","179.51","NaN","NaN","NaN","115.95","NaN","37.1","NaN","25.22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","293.19","NaN","NaN","NaN","3757"
"75(1,C10)","Unknown34","NaN","NaN","58.05","NaN","122.6","NaN","NaN","NaN","NaN","NaN","NaN","6524.72","NaN","NaN","NaN","NaN","NaN","NaN","38.37","NaN","58.73","NaN","43.85","NaN","NaN","NaN","104.39","NaN","NaN","NaN","145.29","NaN","36.81","NaN","27.39","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","50.31","NaN","NaN","NaN","4040"
"76(1,D10)","Unknown46","NaN","NaN","57.1","NaN","107.99","NaN","NaN","NaN","NaN","NaN","NaN","9341.16","NaN","NaN","NaN","NaN","NaN","NaN","36.67","NaN","47.35","NaN","42.03","NaN","NaN","NaN","86.95","NaN","NaN","NaN","120.23","NaN","38.2","NaN","22.77","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","48.99","NaN","NaN","NaN","3793"
"78(1,F10)","Unknown62","NaN","NaN","56.52","NaN","139","NaN","NaN","NaN","NaN","NaN","NaN","7936.27","NaN","NaN","NaN","NaN","NaN","NaN","43.23","NaN","51.3","NaN","38.24","NaN","NaN","NaN","156.97","NaN","NaN","NaN","107.17","NaN","35.19","NaN","24.37","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","84.75","NaN","NaN","NaN","3591"
"79(1,G10)","Unknown67","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4.21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","5.56","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","77"
"80(1,H10)","Unknown71","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.63","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4.16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","72"
"81(1,A11)","Unknown11","NaN","NaN","48.26","NaN","235.42","NaN","NaN","NaN","NaN","NaN","NaN","6246.53","NaN","NaN","NaN","NaN","NaN","NaN","53.81","NaN","49.65","NaN","42.72","NaN","NaN","NaN","164.1","NaN","NaN","NaN","125.4","NaN","34.51","NaN","22.7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","116.86","NaN","NaN","NaN","4056"
"82(1,B11)","Unknown23","NaN","NaN","47.42","NaN","258.4","NaN","NaN","NaN","NaN","NaN","NaN","9159.65","NaN","NaN","NaN","NaN","NaN","NaN","34.12","NaN","41.11","NaN","32.52","NaN","NaN","NaN","165.69","NaN","NaN","NaN","125.85","NaN","34.24","NaN","21.81","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","208.79","NaN","NaN","NaN","4137"
"83(1,C11)","Unknown35","NaN","NaN","46.02","NaN","262.27","NaN","NaN","NaN","NaN","NaN","NaN","2000.46","NaN","NaN","NaN","NaN","NaN","NaN","42.73","NaN","44.58","NaN","36.22","NaN","NaN","NaN","178.73","NaN","NaN","NaN","121.59","NaN","32.46","NaN","20.74","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","112.83","NaN","NaN","NaN","3933"
"89(1,A12)","Unknown12","NaN","NaN","75.51","NaN","188.23","NaN","NaN","NaN","NaN","NaN","NaN","6132.41","NaN","NaN","NaN","NaN","NaN","NaN","50.13","NaN","64.82","NaN","56.71","NaN","NaN","NaN","170.88","NaN","NaN","NaN","125.81","NaN","38.75","NaN","31.52","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","79.94","NaN","NaN","NaN","3981"
"90(1,B12)","Unknown24","NaN","NaN","51.66","NaN","195.34","NaN","NaN","NaN","NaN","NaN","NaN","9005.66","NaN","NaN","NaN","NaN","NaN","NaN","39.73","NaN","50.64","NaN","36.81","NaN","NaN","NaN","174.74","NaN","NaN","NaN","125.34","NaN","37.09","NaN","23.03","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","120.25","NaN","NaN","NaN","4077"
"91(1,C12)","Unknown36","NaN","NaN","52.74","NaN","256.82","NaN","NaN","NaN","NaN","NaN","NaN","8848.85","NaN","NaN","NaN","NaN","NaN","NaN","36.54","NaN","39.61","NaN","34.25","NaN","NaN","NaN","165.26","NaN","NaN","NaN","129.19","NaN","38.31","NaN","21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","179.05","NaN","NaN","NaN","3819"
"94(1,F12)","Unknown63","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3.57","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","7.53","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","95"

"DataType:","%CV"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"1(1,A1)","Unknown1","NaN","NaN","103.41","NaN","44.96","NaN","NaN","NaN","NaN","NaN","NaN","62.45","NaN","NaN","NaN","NaN","NaN","NaN","64.84","NaN","58.44","NaN","83.35","NaN","NaN","NaN","32.91","NaN","NaN","NaN","41.74","NaN","320.05","NaN","194.49","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","208.34","NaN","NaN","NaN","3960"
"2(1,B1)","Unknown13","NaN","NaN","55.61","NaN","54","NaN","NaN","NaN","NaN","NaN","NaN","51.13","NaN","NaN","NaN","NaN","NaN","NaN","86.39","NaN","70.14","NaN","70.02","NaN","NaN","NaN","38.47","NaN","NaN","NaN","37.58","NaN","59.71","NaN","797.68","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","46.15","NaN","NaN","NaN","4123"
"3(1,C1)","Unknown25","NaN","NaN","176.76","NaN","44.12","NaN","NaN","NaN","NaN","NaN","NaN","131.38","NaN","NaN","NaN","NaN","NaN","NaN","77.32","NaN","72.91","NaN","71.53","NaN","NaN","NaN","40.13","NaN","NaN","NaN","46.21","NaN","63.09","NaN","69.86","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","76.48","NaN","NaN","NaN","4035"
"4(1,D1)","Unknown37","NaN","NaN","74.58","NaN","44.67","NaN","NaN","NaN","NaN","NaN","NaN","41.37","NaN","NaN","NaN","NaN","NaN","NaN","104.22","NaN","91.05","NaN","76.96","NaN","NaN","NaN","33.79","NaN","NaN","NaN","36.21","NaN","67.55","NaN","89.02","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","40.4","NaN","NaN","NaN","4595"
"5(1,E1)","Unknown47","NaN","NaN","48.03","NaN","41.78","NaN","NaN","NaN","NaN","NaN","NaN","51.11","NaN","NaN","NaN","NaN","NaN","NaN","530.08","NaN","54.23","NaN","64.98","NaN","NaN","NaN","31.22","NaN","NaN","NaN","36.07","NaN","65.26","NaN","70.19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","54.43","NaN","NaN","NaN","4006"
"6(1,F1)","Unknown53","NaN","NaN","58.03","NaN","110.56","NaN","NaN","NaN","NaN","NaN","NaN","157.99","NaN","NaN","NaN","NaN","NaN","NaN","56.25","NaN","63.15","NaN","71.76","NaN","NaN","NaN","33.63","NaN","NaN","NaN","39.65","NaN","65.94","NaN","63.45","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","44.78","NaN","NaN","NaN","3645"
"7(1,G1)","Unknown64","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","70.8","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","91.31","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","58"
"8(1,H1)","Unknown68","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","43.45","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","38.17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","44"
"9(1,A2)","Unknown2","NaN","NaN","65.65","NaN","43.63","NaN","NaN","NaN","NaN","NaN","NaN","125.47","NaN","NaN","NaN","NaN","NaN","NaN","52.86","NaN","80.63","NaN","66.43","NaN","NaN","NaN","46.23","NaN","NaN","NaN","47.83","NaN","59.36","NaN","76.73","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","41.38","NaN","NaN","NaN","3196"
"10(1,B2)","Unknown14","NaN","NaN","50.93","NaN","49.09","NaN","NaN","NaN","NaN","NaN","NaN","50.2","NaN","NaN","NaN","NaN","NaN","NaN","65.13","NaN","126.42","NaN","92.73","NaN","NaN","NaN","29.99","NaN","NaN","NaN","76.12","NaN","57.53","NaN","83.96","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","34.7","NaN","NaN","NaN","2940"
"11(1,C2)","Unknown26","NaN","NaN","88.75","NaN","49.83","NaN","NaN","NaN","NaN","NaN","NaN","98.31","NaN","NaN","NaN","NaN","NaN","NaN","504.21","NaN","231.26","NaN","70.37","NaN","NaN","NaN","41.25","NaN","NaN","NaN","36.6","NaN","87.58","NaN","1410.1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","169.43","NaN","NaN","NaN","3839"
"12(1,D2)","Unknown38","NaN","NaN","51.18","NaN","54.28","NaN","NaN","NaN","NaN","NaN","NaN","52.01","NaN","NaN","NaN","NaN","NaN","NaN","64.24","NaN","63.07","NaN","99.87","NaN","NaN","NaN","43.45","NaN","NaN","NaN","40.67","NaN","77.19","NaN","81.88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","51.97","NaN","NaN","NaN","3901"
"13(1,E2)","Unknown48","NaN","NaN","66.91","NaN","40.9","NaN","NaN","NaN","NaN","NaN","NaN","136.05","NaN","NaN","NaN","NaN","NaN","NaN","136.72","NaN","176.72","NaN","74.66","NaN","NaN","NaN","35.5","NaN","NaN","NaN","38.15","NaN","78.95","NaN","205.66","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","61.75","NaN","NaN","NaN","3621"
"14(1,F2)","Unknown54","NaN","NaN","60.41","NaN","58.82","NaN","NaN","NaN","NaN","NaN","NaN","42.26","NaN","NaN","NaN","NaN","NaN","NaN","61.52","NaN","79.38","NaN","60.36","NaN","NaN","NaN","31.75","NaN","NaN","NaN","36.47","NaN","54.6","NaN","72.87","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","116.04","NaN","NaN","NaN","3893"
"17(1,A3)","Unknown3","NaN","NaN","287.16","NaN","42.1","NaN","NaN","NaN","NaN","NaN","NaN","48.64","NaN","NaN","NaN","NaN","NaN","NaN","67.06","NaN","153.79","NaN","73.79","NaN","NaN","NaN","30.12","NaN","NaN","NaN","40.59","NaN","61.92","NaN","75.88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","39.9","NaN","NaN","NaN","3818"
"18(1,B3)","Unknown15","NaN","NaN","58.14","NaN","46.12","NaN","NaN","NaN","NaN","NaN","NaN","42.4","NaN","NaN","NaN","NaN","NaN","NaN","77.53","NaN","291.97","NaN","76.14","NaN","NaN","NaN","30.26","NaN","NaN","NaN","35.36","NaN","91.21","NaN","133.77","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","120.51","NaN","NaN","NaN","3850"
"19(1,C3)","Unknown27","NaN","NaN","51.54","NaN","162.15","NaN","NaN","NaN","NaN","NaN","NaN","76.64","NaN","NaN","NaN","NaN","NaN","NaN","181.84","NaN","192.98","NaN","95.64","NaN","NaN","NaN","34.46","NaN","NaN","NaN","117.85","NaN","62.8","NaN","72.06","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","87","NaN","NaN","NaN","4257"
"20(1,D3)","Unknown39","NaN","NaN","103","NaN","50.86","NaN","NaN","NaN","NaN","NaN","NaN","62.71","NaN","NaN","NaN","NaN","NaN","NaN","74.82","NaN","103.74","NaN","121.72","NaN","NaN","NaN","39.08","NaN","NaN","NaN","95.16","NaN","58.12","NaN","214.88","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","51.69","NaN","NaN","NaN","3703"
"21(1,E3)","Unknown49","NaN","NaN","59.06","NaN","45.61","NaN","NaN","NaN","NaN","NaN","NaN","49.89","NaN","NaN","NaN","NaN","NaN","NaN","71.78","NaN","69.83","NaN","117.85","NaN","NaN","NaN","34.98","NaN","NaN","NaN","319.93","NaN","61.97","NaN","85.25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","41.52","NaN","NaN","NaN","4043"
"22(1,F3)","Unknown55","NaN","NaN","53.53","NaN","49.57","NaN","NaN","NaN","NaN","NaN","NaN","87.22","NaN","NaN","NaN","NaN","NaN","NaN","65.34","NaN","336.72","NaN","135.15","NaN","NaN","NaN","36.05","NaN","NaN","NaN","37.9","NaN","88.49","NaN","91.24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","45.65","NaN","NaN","NaN","3470"
"25(1,A4)","Unknown4","NaN","NaN","68.82","NaN","42.75","NaN","NaN","NaN","NaN","NaN","NaN","70.35","NaN","NaN","NaN","NaN","NaN","NaN","62.39","NaN","147.02","NaN","100.15","NaN","NaN","NaN","41.21","NaN","NaN","NaN","32.09","NaN","58.54","NaN","82.37","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","57.09","NaN","NaN","NaN","3859"
"26(1,B4)","Unknown16","NaN","NaN","71.91","NaN","56.22","NaN","NaN","NaN","NaN","NaN","NaN","51.21","NaN","NaN","NaN","NaN","NaN","NaN","88.54","NaN","169.28","NaN","207.87","NaN","NaN","NaN","44.86","NaN","NaN","NaN","868.04","NaN","67.82","NaN","104.38","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","48.56","NaN","NaN","NaN","3722"
"27(1,C4)","Unknown28","NaN","NaN","65.5","NaN","54.49","NaN","NaN","NaN","NaN","NaN","NaN","82.14","NaN","NaN","NaN","NaN","NaN","NaN","69.33","NaN","77.76","NaN","145.59","NaN","NaN","NaN","44.66","NaN","NaN","NaN","743.49","NaN","72.87","NaN","91.31","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","81.95","NaN","NaN","NaN","3773"
"28(1,D4)","Unknown40","NaN","NaN","78.46","NaN","52.85","NaN","NaN","NaN","NaN","NaN","NaN","99.63","NaN","NaN","NaN","NaN","NaN","NaN","62.22","NaN","55.18","NaN","69.81","NaN","NaN","NaN","54.27","NaN","NaN","NaN","46.52","NaN","64.76","NaN","77.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","63.67","NaN","NaN","NaN","3676"
"29(1,E4)","Unknown50","NaN","NaN","53.61","NaN","47.52","NaN","NaN","NaN","NaN","NaN","NaN","135.22","NaN","NaN","NaN","NaN","NaN","NaN","67.41","NaN","554.56","NaN","127.61","NaN","NaN","NaN","49.53","NaN","NaN","NaN","38.32","NaN","64.19","NaN","75.77","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","37.86","NaN","NaN","NaN","3888"
"30(1,F4)","Unknown56","NaN","NaN","69.81","NaN","46.17","NaN","NaN","NaN","NaN","NaN","NaN","62.92","NaN","NaN","NaN","NaN","NaN","NaN","86.72","NaN","60.59","NaN","78.21","NaN","NaN","NaN","33.42","NaN","NaN","NaN","38.57","NaN","298.26","NaN","82.39","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","48.68","NaN","NaN","NaN","3931"
"31(1,G4)","Unknown65","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","125.93","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","120.82","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","75"
"32(1,H4)","Unknown69","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","58.63","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","98.48","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","64"
"33(1,A5)","Unknown5","NaN","NaN","50.7","NaN","41.16","NaN","NaN","NaN","NaN","NaN","NaN","63.63","NaN","NaN","NaN","NaN","NaN","NaN","60.03","NaN","55.71","NaN","61.68","NaN","NaN","NaN","34.27","NaN","NaN","NaN","34.3","NaN","53.45","NaN","87.03","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","548.91","NaN","NaN","NaN","3362"
