"","ID.type","TR.Activin","TR.Bmp4ri","TR.Fgf4","TR.Fgfri","TR.Gsk3i","TR.Igfri","TR.Jaki","TR.Meki","TR.Pi3ki","TR.NoLif","DA.ALL","DV.Gsk3","DV.Mek","DV.mTor","DV.Akt","DV.Erk","DV.Stat3","DV.Smad2"
"40","t","0","0","0","0","1","0","0","0","1","0","0","0.2745098"," 0.9353818","0.5082579","0.2485465","1.50323898","0.67137089","0.9966194"
"41","t","0","0","0","0","0","1","0","0","0","0","0","0.8078431"," 0.9679169","0.7144379","0.4251453","0.38538538","1.01144891","0.6842914"
"42","t","0","0","0","0","0","0","1","0","0","0","0","0.5725490"," 1.0858563","0.8295152","0.5428779","2.14292331","0.36716801","0.9354134"
"43","t","0","1","0","0","0","0","1","0","0","0","0","0.4784314"," 1.0695888","0.7384124","0.3728198","1.64366349","0.28045866","0.7674854"
"44","t","0","0","0","1","0","0","1","0","0","0","0","0.4509804"," 0.4229553","0.6233351","0.5952035","0.05127179","0.34906628","0.7075682"
"45","t","0","0","0","0","1","0","1","0","0","0","0","0.4156863"," 1.4518753","0.8391050","0.3989826","1.85037277","0.23382498","0.8027321"
"46","t","0","0","0","0","0","1","1","0","0","0","0","0.4274510"," 0.9109806","0.5753863","0.3139535","0.96876420","0.58417369","0.9554542"
"47","t","0","0","0","0","0","0","1","1","0","0","0","0.6745098"," 6.9177587","0.7384124","0.8960756","0.17385751","0.32793855","0.8403171"
"48","t","0","0","0","0","0","0","1","0","1","0","0","0.1960784"," 0.9150474","0.3979755","0.2681686","0.82979842","0.43894689","0.9663962"
"49","t","0","0","0","0","0","0","0","1","0","0","0","0.9490196"," 9.3497515","1.0692595","0.9418605","0.25735787","0.93367354","0.8695512"
"50","t","0","0","0","0","0","1","0","1","0","0","0","0.9450980"," 9.4676909","0.7671817","1.3343023","0.43108639","0.96609693","0.8729223"
"51","t","0","0","0","0","0","0","0","1","1","0","0","0.3019608","16.1211026","0.4171550","0.2747093","0.59970815","0.78852304","2.4365751"
"52","t","0","0","0","0","0","0","0","0","0","1","0","0.8784314"," 0.7279711","0.9925413","1.0661337","0.26969881","0.32373890","0.9054665"
"53","t","1","0","0","0","0","0","0","0","0","1","0","0.9176471"," 0.9841844","1.0261055","0.9811047","0.62243145","0.46920856","2.3710856"
"54","t","0","1","0","0","0","0","0","0","0","1","0","0.9882353"," 0.8093086","1.0644646","0.8829942","0.24522561","0.40828809","0.5725336"
"55","t","0","0","1","0","0","0","0","0","0","1","0","0.9254902"," 1.9846362","0.9973362","0.6213663","1.41933697","0.04832437","1.0864120"
"56","t","0","0","0","1","0","0","0","0","0","1","0","0.8313725"," 0.4432897","0.8582845","0.7194767","0.09207455","0.38815526","0.8501643"
"57","t","0","0","0","0","1","0","0","0","0","1","0","0.6431373"," 0.7442386","0.8726692","0.5101744","0.32659371","0.41437359","0.8171709"
"58","t","0","0","0","0","0","1","0","0","0","1","0","0.7843137"," 0.9475825","0.6952584","0.5101744","0.38947899","0.50020691","0.7835732"
"59","t","0","0","0","0","0","0","1","0","0","1","0","0.6117647"," 0.8987799","0.8007459","0.7456395","0.29223427","0.24704519","0.7917914"
"60","t","0","0","0","0","0","0","0","1","0","1","0","1.1568627"," 8.8169905","0.9781566","1.1315407","0.05250088","0.34851091","1.0258178"
"61","t","0","0","0","0","0","0","0","0","1","1","0","0.3803922"," 1.0167194","0.5274374","0.2550872","0.45982805","0.49067316","1.0152495"
"62","t","0","0","0","0","0","0","0","0","1","0","0","0.3294118"," 0.9435156","0.5322323","0.2681686","0.61155577","0.84955699","0.8371808"
"63","c","0","0","0","0","0","0","0","0","0","0","0","0.7935035"," 0.9121191","1.0181962",NA,"0.88007515","1.0884183","1.0769767"
"64","c","0","0","0","0","0","0","0","0","0","0","0","0.8422274"," 0.7654146","0.7974684",NA,"1.03407098","0.9051507","1.5685018"
"65","c","0","0","0","0","0","0","0","0","0","0","0","1.0649652"," 0.9886605","1.0609177",NA,"0.94407889","0.8252421","1.1895730"
"66","c","0","0","0","0","0","0","0","0","0","0","0","0.8213457"," 1.0141743","0.9113924",NA,"1.32623756","0.9818117","1.3161067"
"67","c","0","0","0","0","0","0","0","0","0","0","0","0.8839907"," 1.1672573","0.8473101",NA,"1.13149094","0.9277348","0.9685210"
"68","c","0","0","0","0","0","0","0","0","0","0","0","1.1902552"," 1.0715804","1.0181962",NA,"0.88477592","0.6310326","1.0887317"
"69","c","0","0","0","0","0","0","0","0","0","0","0","1.3085847"," 1.3713678","1.0609177",NA,"1.56097107","0.6790754","1.1243888"
"70","c","0","0","0","0","0","0","0","0","0","0","0","0.9396752"," 0.8355776","1.1107595",NA,NA,NA,NA
"71","c","0","0","0","0","0","0","0","0","0","0","0","1.1554524"," 0.8738483","1.1748418",NA,NA,NA,NA
"72","t","1","0","0","0","0","0","0","0","0","0","0","0.9257541"," 0.8419561","0.9327532",NA,"0.42054046","0.9943312","2.4206257"
"73","t","1","1","0","0","0","0","0","0","0","0","0","0.8700696"," 0.7399008","0.9541139",NA,"0.26017911","0.9334197","1.0621048"
"74","t","1","0","1","0","0","0","0","0","0","0","0","1.3155452"," 2.8447909","1.0609177",NA,"5.28256225","0.8103862","2.1752880"
"75","t","1","0","0","1","0","0","0","0","0","0","0","0.8004640"," 0.4720057","0.7333861",NA,"0.11999237","0.8638098","2.5894308"
"76","t","1","0","0","0","1","0","0","0","0","0","0","0.6194896"," 0.8100638","0.7618671",NA,"0.37787250","0.8802878","3.5871841"
"77","t","1","0","0","0","0","1","0","0","0","0","0","0.8352668"," 1.1545004","0.6906646",NA,"0.64635453","1.1505663","2.9778661"
"78","t","1","0","0","0","0","0","1","0","0","0","0","0.4802784"," 0.7654146","0.7120253",NA,"0.28677131","0.2270045","3.0174193"
"79","t","1","0","0","0","0","0","0","1","0","0","0","1.2250580","19.4415308","1.1606013",NA,"0.13402612","1.1889491","2.3515236"
"80","t","1","0","0","0","0","0","0","0","1","0","0","0.4315545"," 1.7158044","0.5909810",NA,"0.91542141","1.2546583","3.4646042"
"81","t","0","1","0","0","0","0","0","0","0","0","0","0.7378190"," 0.8291991","0.9612342",NA,"0.19266792","1.2400158","0.9435028"
"82","t","0","1","0","1","0","0","0","0","0","0","0","0.7865429"," 0.4145996","0.8615506",NA,"0.13878093","0.7274149","0.6474045"
"83","t","0","1","0","0","1","0","0","0","0","0","0","0.3967517"," 1.3905032","1.3884494",NA,"2.95217028","0.7421694","0.7973278"
"84","t","0","1","0","0","0","1","0","0","0","0","0","0.7587007"," 0.9567682","0.8757911",NA,"1.06611503","0.8657373","1.0363019"
"85","t","0","1","0","0","0","0","0","1","0","0","0","1.1624130","12.0935507","0.9327532",NA,"0.14631530","0.6258696","0.5616159"
"86","t","0","1","0","0","0","0","0","0","1","0","0","0.4524362"," 0.9631467","0.6337025",NA,"1.28199296","0.8829220","0.7269051"
"87","t","0","0","1","0","0","0","0","0","0","0","0","0.7447796"," 1.5435861","0.8900316",NA,"2.64682477","1.1770819","1.0564880"
"88","t","0","1","1","0","0","0","0","0","0","0","0","0.7099768"," 1.0205528","0.9185127",NA,"1.14404939","1.0076184","0.7636417"
"89","t","0","0","1","1","0","0","0","0","0","0","0","0.8004640"," 0.5485471","0.8757911",NA,"0.26160787","0.8841640","0.8712695"
"90","t","0","0","1","0","1","0","0","0","0","0","0","0.4037123"," 1.8944011","1.5593354",NA,"2.47147187","0.6999295","0.9947257"
